,activity__count_above_mean,activity__benford_correlation,"activity__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","activity__linear_trend__attr_""intercept""","activity__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","activity__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",activity__energy_ratio_by_chunks__num_segments_10__segment_focus_1,activity__absolute_sum_of_changes,"activity__fft_aggregated__aggtype_""variance""",activity__number_cwt_peaks__n_1,"activity__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","activity__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","activity__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","activity__fft_coefficient__attr_""abs""__coeff_80","activity__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","activity__fft_coefficient__attr_""abs""__coeff_36",activity__partial_autocorrelation__lag_8,"activity__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",activity__length,activity__range_count__max_1000000000000.0__min_0,"activity__fft_coefficient__attr_""real""__coeff_0","activity__fft_coefficient__attr_""abs""__coeff_0",activity__cid_ce__normalize_False,activity__sum_values
0,147.0,0.9759910265756633,280.08157524613216,171.121853108243,171.78494536405924,171.72321901709407,0.05353314805597152,31043.75,2977.4249463741035,32.0,332.2393803418803,176.05523684210527,31.82581196581197,2095.9511409593347,5100.792707346098,3644.251419840752,-0.11085016261849062,66.11496808395543,388.0,388.0,56975.36666666667,56975.36666666667,3114.5644486384003,56975.36666666667
1,160.0,0.9256918580821767,122.60296169457129,75.73319677525957,75.63606477750918,76.28440047190047,0.07593523062579854,15633.588235294117,2796.83472405417,34.0,148.06926926926923,80.72654925303455,14.980680680680681,282.65905663085476,877.7919995544755,602.1197445110776,-0.03140353188056369,31.879690437818965,357.0,357.0,25311.561764705883,25311.561764705883,1231.2480387992116,25311.561764705883
2,141.0,0.9871960231341413,272.89990219092334,157.759722793691,157.82131064162755,161.5957832832833,0.01373116535406829,32001.966666666667,2988.0782913312046,35.0,392.1237237237237,184.66741666666667,33.06744244244244,575.2781386811182,8291.69895894627,3159.032492127344,-0.03629933207359187,64.77482394366197,355.0,355.0,55714.48333333334,55714.48333333334,2616.9653912287204,55714.48333333334
3,202.0,0.6691859199032493,535.2822450577412,273.8300093618001,272.95397109959407,272.0227411236107,0.08725497054160833,59643.71956521739,9662.355618992095,55.0,757.2197668997669,263.23077284501954,32.89498834498835,3000.674219531694,38903.69828123661,713.0163170935632,-0.11464176956076189,101.97997846936778,649.0,649.0,99695.80289855073,99695.80289855073,4840.7242508681675,99695.80289855073
4,157.0,0.9695002334277655,208.27442964123998,94.757595974195,94.40378962034134,93.9949266191325,0.1157113588989024,19457.56274509804,4444.277163738913,34.0,290.01612596553775,91.31026628540305,8.717424242424244,747.5990575204627,5232.617257856114,3818.6244271928763,-0.04346668349316305,25.55795454545455,432.0,432.0,23654.646078431375,23654.646078431375,1648.511330200582,23654.646078431375
5,115.0,0.9810129792175633,137.78300207039334,65.92452652157209,66.91451042097995,68.94312857142856,0.03815994808219057,24654.173333333332,2730.7038143543596,32.0,217.84539682539682,70.78816821705428,3.6280158730158716,1510.316912476006,2647.8849998832,1003.6102533888848,-0.03660888460401204,16.762712215320917,343.0,343.0,27160.306666666667,27160.306666666667,2343.6958854292034,27160.306666666667
6,163.0,0.9417496031466904,274.85596692582993,159.39212212136874,159.93937547321482,162.32027405072213,0.07970235874714343,33255.751351351355,2913.994836990401,37.0,349.2449502133713,172.64097243672245,24.511755283021284,994.5056445047398,7409.009761361003,449.0687872076509,-0.13362558080502593,66.56674538292457,364.0,364.0,58783.83198198199,58783.83198198199,2400.23787373978,58783.83198198199
7,212.0,0.8590319378665807,563.8274563242488,308.26054386706096,307.4401303783568,307.59695900302813,0.059826095069108055,57166.205555555556,6377.263978728214,46.0,733.0896692289773,306.9315757575758,61.64783368273934,2573.623681829947,29901.65210982175,4207.219300160701,-0.031804434033497565,128.29548966756514,525.0,525.0,106367.30555555556,106367.30555555556,4285.101075370565,106367.30555555556
8,150.0,0.9416212987314756,409.6975209798839,205.47718947521466,212.4529115759595,219.99570768136556,0.03306509127306823,50403.087499999994,3323.50027124756,38.0,595.2533250355618,258.2193484848485,51.75560099573258,3186.511344631332,21270.213015615616,2616.2706053839333,-0.16710353668598854,93.73379766753054,361.0,361.0,95725.93750000001,95725.93750000001,4218.955172247512,95725.9375
9,124.0,0.98569930552609,364.70351721584603,201.38822561638176,209.6658299395286,219.00196301564722,0.011562715999626598,48127.36666666667,2649.3139432987987,34.0,448.92434803224273,261.86852777777773,69.41036036036036,1366.9231633801573,8130.759140055128,1859.0382090956828,-0.1249405597885424,102.67010366530914,361.0,361.0,99252.15,99252.15,4106.40110728225,99252.15000000001
10,126.0,0.9918292084426162,296.4896499238965,158.3569310566964,159.50231277948865,160.14100775193802,0.06552088797290798,37748.215503875974,3060.1601438062166,29.0,404.45558058058054,183.38276550387593,18.89697197197197,1710.3561663759028,11850.064686978112,2058.236385038356,-0.09805362254967614,51.30486428209029,359.0,359.0,59919.034496124026,59919.034496124026,3114.9160926824748,59919.03449612403
11,173.0,0.722758632003224,612.1817478437341,383.4768103006053,382.1776433282597,380.75184434434436,0.11536465631344554,46983.91666666667,3057.9424316551354,36.0,805.921996996997,394.32375,73.14997497497497,456.08836608830177,32550.1870970827,2010.2745802110176,-0.06561522490014332,177.27161973617456,360.0,360.0,104101.51666666666,104101.51666666666,3757.5643960254065,104101.51666666666
12,146.0,0.9830564807931137,457.943797564688,215.2644802107112,216.62111400564595,216.98619003619007,0.05669978236756502,42303.39743589744,2952.3634155996133,36.0,624.9359109109108,240.23477564102564,15.542267267267269,2734.7935633873903,26839.398289087178,3510.386798529465,-0.07304180680206523,61.86741501775749,358.0,358.0,70203.34743589743,70203.34743589743,3468.9447319893,70203.34743589743
13,117.0,0.96396839332918,551.6961081081081,346.9438025511072,345.9360025740026,343.91797534376474,0.008893275749375084,40904.90714285714,2582.722026972387,31.0,732.3537932669512,341.5331904761905,63.95474158368896,1068.3431431628153,27241.723485766746,2450.016079379369,-0.04657503922762744,179.37664864864865,370.0,370.0,96762.22380952381,96762.22380952381,3599.9933042446864,96762.22380952381
14,107.0,0.9481987690323211,558.9040864263941,293.98238188427985,293.57594298009684,293.63640065816537,0.16860782483398226,40122.74102564102,2518.6332266450127,22.0,825.5610425522191,266.4092708957709,44.784165181224,3393.8683524658454,39447.57527651967,3345.0694502131923,-0.05159559799939331,122.93121212121213,322.0,322.0,59486.37435897436,59486.37435897436,4465.917937750965,59486.37435897436
15,141.0,0.9781164107799195,351.6281543052003,187.2677718360071,186.96837595907928,186.7711148459384,0.08850668443047002,40759.41666666667,2611.1762728304393,32.0,485.5008963585434,186.644681547619,30.954453781512605,3558.427546925185,16457.959052031823,1697.5602446619332,-0.1184148149190445,62.231926683716964,340.0,340.0,60723.23333333333,60723.23333333333,3201.603549742257,60723.23333333333
